M11_order_1_based,column_name,prefix_block,documented_block,M5,M10,M11,M11_without_audit,legacy_dictionary_first_modality,legacy_dictionary_block,legacy_dictionary_dtype_reported,legacy_description_verbatim,upstream_zind_identifier,source_report_all_zero,formula_status,historical_asof_availability,block_annotation_basis,dictionary_identity_evidence
97,fini_profit_to_op_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
98,fini_q_ocf_to_sales_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
99,fini_q_ocf_to_sales_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
100,fini_q_ocf_to_sales_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
101,fini_quick_ratio_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
102,fini_quick_ratio_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
103,fini_quick_ratio_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
104,fini_roa_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
105,fini_roa_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
106,fini_roa_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
107,fini_roe_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
108,fini_roe_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,True,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
109,fini_roe_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
110,fini_roe_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
111,fini_roic_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
112,fini_saleexp_to_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
113,fini_tangibleasset_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
114,fini_tbassets_to_totalassets_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
115,fini_tr_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
116,fini_turn_days_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,M5,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
117,pld_controller_max_ratio1,pld_,Share-pledge disclosures,False,True,True,True,M10,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
118,pld_high_pledge_flag,pld_,Share-pledge disclosures,False,True,True,True,M10,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
119,pld_max_ratio2,pld_,Share-pledge disclosures,False,True,True,True,M10,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
120,pld_n_change_events,pld_,Share-pledge disclosures,False,True,True,True,M10,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
121,pld_n_events,pld_,Share-pledge disclosures,False,True,True,True,M10,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
122,pld_n_securities_pledgee,pld_,Share-pledge disclosures,False,True,True,True,M10,Unknown,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
123,rpt_affect_profit_ratio,rpt_,Company-level RPT summaries,False,False,True,True,M11,RPT,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
124,rpt_max_pannrsm,rpt_,Company-level RPT summaries,False,False,True,True,M11,RPT,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
125,rpt_n_guarantee,rpt_,Company-level RPT summaries,False,False,True,True,M11,RPT,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
126,rpt_n_high_pannrsm,rpt_,Company-level RPT summaries,False,False,True,True,M11,RPT,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
127,rpt_n_loan,rpt_,Company-level RPT summaries,False,False,True,True,M11,RPT,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
128,rpt_total_amount,rpt_,Company-level RPT summaries,False,False,True,True,M11,RPT,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
129,rpt_total_isgplo,rpt_,Company-level RPT summaries,False,False,True,True,M11,RPT,float32,derived; see pipeline source for details,False,False,not recovered from this source collection,not independently established,retained prefix inventory and converter documentation; not a newly inferred formula,collection_v7 F002 names matched to retained field inventory by column_name; row order is not model input order
