column_name,block,source_status,source_reference,source_rule_summary,time_rule_and_boundary,binding_to_retained_values,new_feature_values_generated,variant_binding
fini_dt_eps_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ebit_of_gr_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ebit_of_gr_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ebt_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_eqt_to_debt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_eqt_to_interestdebt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_eqt_to_talcapital_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_equity_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_expense_of_sales_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_fa_turn_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_fa_turn_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_finaexp_of_gr_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_gc_of_gr_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_netprofit_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_npta_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_npta_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_npta_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ocf_to_debt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ocf_to_debt_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ocf_to_debt_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ocf_to_shortdebt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ocf_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_ocfps_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_op_of_gr_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_op_of_gr_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_op_of_gr_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_op_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_profit_to_gr_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_profit_to_gr_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_profit_to_gr_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_profit_to_op_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_q_ocf_to_sales_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_q_ocf_to_sales_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_q_ocf_to_sales_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_quick_ratio_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_quick_ratio_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_quick_ratio_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roa_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roa_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roa_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roe_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roe_t0_zind,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.","fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate. Candidate standardization uses same-year industry groups, not the training-only model-input scaler.",not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roe_t1,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roe_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_roic_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_saleexp_to_gr_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_tangibleasset_to_debt_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_tbassets_to_totalassets_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_tr_yoy_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
fini_turn_days_t0,fini_,matching_candidate_vendor_field_map_recovered,"MAC:S0040, S0063, S0048; earlier variants S0029/S0032","51 vendor t0 + 12 t1 + 15 year-industry z variants, minus nine explicit raw per-share columns, yields 69 retained fields. Provider internal formulas are not reconstructed here.",fina_indicator end_date fiscal year; latest ann_date per ts_code/end_date; no per-filing anchor cutoff in candidate.,not independently verified against original/intermediate Parquet,False,source candidate(s) identified; not a from-raw cell-wise reconstruction
pld_controller_max_ratio1,pld_,generator_rule_recovered,"A0006:L93-L94,L126-L134",Maximum Ratio1 among RelationtoCom matching 控股股东/实际控制人/控股/实控.,Matching is a string heuristic; missing final values filled with zero.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
pld_high_pledge_flag,pld_,generator_rule_recovered,"A0006:L57,L133-L138",Indicator(controller maximum Ratio1 >=80 OR all-record maximum Ratio1 >=80).,Includes a non-controller fallback; not exclusively a controlling-shareholder flag.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
pld_max_ratio2,pld_,generator_rule_recovered,"A0006:L77-L86,L117-L124",Annual maximum of numeric Ratio2.,DeclareDate calendar year; matches and nulls are subsequently zero-filled.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
pld_n_change_events,pld_,generator_rule_recovered,"A0006:L104-L106,L140-L143; A0031:L138-L141",A0031 uses #new - #release; A0006 uses #new + #release. No record-exclusive category constraint is shown.,Two different historical definitions share one output name; do not silently select a variant.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
pld_n_events,pld_,generator_rule_recovered,A0006:L117-L124,"Number of rows in the firm/year group (Ratio2 size), not count of nonmissing Ratio2 or proven unique events.",DeclareDate calendar year; upstream reader/dedup helper not in current export.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
pld_n_securities_pledgee,pld_,generator_rule_recovered,"A0006:L53,L96-L102,L117-L124",Count rows where PledgeeCatergory OR Pledgee contains 证券/券商/证券公司.,Pledgee is the receiving counterparty; do not relabel as pledgor.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
rpt_affect_profit_ratio,rpt_,generator_rule_recovered,"A0029:L101,L110-L123,L147-L173","Count(Ifafcprf ==1.0)/#rows, else 0 for zero denominator.","Record fraction, not impact amount divided by actual profit.",not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
rpt_max_pannrsm,rpt_,generator_rule_recovered,"A0029:L98,L115-L123,L147-L165","Maximum Pannrsm after missing->0, across volumes.","Thresholds/ratios follow supplied numeric field, not independently verified regulation.",not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
rpt_n_guarantee,rpt_,generator_rule_recovered,"A0029:L61,L103-L123,L147-L169",Count rows whose Kind contains 担保/保证.,May overlap other keyword categories; not graph guarantee edges.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
rpt_n_high_pannrsm,rpt_,generator_rule_recovered,"A0029:L62,L98-L109,L147-L166","Sum of row indicators(Pannrsm >5), strict inequality.",Code threshold only; no claim here that a legal approval rule requires this cutoff.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
rpt_n_loan,rpt_,generator_rule_recovered,"A0029:L60,L103-L123,L147-L168",Count rows whose Kind contains 贷款/拆借/借款.,String keyword rule; row count can include multiple records for a transaction.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
rpt_total_amount,rpt_,generator_rule_recovered,"A0029:L97-L123,L144-L156,L161-L164","log1p(sum(Isam)) across within-volume then cross-volume firm/year aggregations, float32.",Reptdt year; no transaction-identity deduplication or anchor-version cutoff shown.,not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
rpt_total_isgplo,rpt_,generator_rule_recovered,"A0029:L99,L115-L123,L147-L167","log1p(sum(Isgplo)) across volumes, float32.","No unit check, negative-sum guard or transaction-version deduplication shown.",not independently verified against original/intermediate Parquet,False,candidate rule present; actual executed upstream patch not independently bound
