M11_order_1_based,column_name,prefix_block,documented_block,M5,M10,M11,M11_without_audit,upstream_zind_identifier,source_report_all_zero,formula_verification,source
102,fini_quick_ratio_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
103,fini_quick_ratio_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
104,fini_roa_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
105,fini_roa_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
106,fini_roa_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
107,fini_roe_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
108,fini_roe_t0_zind,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,True,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
109,fini_roe_t1,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
110,fini_roe_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
111,fini_roic_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
112,fini_saleexp_to_gr_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
113,fini_tangibleasset_to_debt_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
114,fini_tbassets_to_totalassets_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
115,fini_tr_yoy_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
116,fini_turn_days_t0,fini_,Additional financial indicators (recorded fini_ block),True,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
117,pld_controller_max_ratio1,pld_,Share-pledge disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
118,pld_high_pledge_flag,pld_,Share-pledge disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
119,pld_max_ratio2,pld_,Share-pledge disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
120,pld_n_change_events,pld_,Share-pledge disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
121,pld_n_events,pld_,Share-pledge disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
122,pld_n_securities_pledgee,pld_,Share-pledge disclosures,False,True,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
123,rpt_affect_profit_ratio,rpt_,Company-level RPT summaries,False,False,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
124,rpt_max_pannrsm,rpt_,Company-level RPT summaries,False,False,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
125,rpt_n_guarantee,rpt_,Company-level RPT summaries,False,False,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
126,rpt_n_high_pannrsm,rpt_,Company-level RPT summaries,False,False,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
127,rpt_n_loan,rpt_,Company-level RPT summaries,False,False,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
128,rpt_total_amount,rpt_,Company-level RPT summaries,False,False,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
129,rpt_total_isgplo,rpt_,Company-level RPT summaries,False,False,True,True,False,False,identifier/schema recovered; original upstream formula and timestamp lineage not fully revalidated,label_v1_stageG2_report.txt / NODE_FEATURES_V1_1 candidate_audits; shared artifact SHA256 adc00129...beb2
